metric_name,display_name,description,derivable,computed_from
peak,instrument speed peak count per arm,The number of changes between acceleration and deceleration with this instrument type on this arm.,no,
peak_all,instrument speed peak count,The number of changes between acceleration and deceleration with this instrument type on any arm.,no,
pedal_swapped_cnt,pedal arm swaps,The number of successful arm swaps performed by foot pedal on this console.,no,
pedal_swapped_freq2,pedal arm swaps rate,The rate of successful arm swaps (while either hand controller was in motion) performed by foot pedal on this console.,no,
speed_max,maximum instrument speed per arm,The maximum speed of the tip of this instrument type on this arm (while it was in motion).,no,
speed_mean,average instrument speed per arm,The average speed of the tip of this instrument type on this arm (while it was in motion).,no,
speed_mean_all,average instrument speed,The average speed of the tip of this instrument type on any arm (while it was in motion).,no,
speed_mean_ssc,average hand controller speed,The average speed of this hand controller (while it was in motion).,no,
sum_jerk_pow,summation of jerk power,The summation of the power of jerk of the instrument tip of an arm.,no,
tool_offscreen_cnt,instrument offscreen movement count,The number of offscreen movements initiated with the tip of this instrument type on this arm.,no,
tool_offscreen_freq,instrument offscreen movement rate,The rate of offscreen movements initiated with the tip of this instrument type on this arm (with respect to instrument movement duration).,no,
workspace_console,console workspace volume,The volume of a spheroid that encompasses 75% of hand controller positions on this console.,no,
workspace_mtm,hand controller workspace volume,The volume of a spheroid that encompasses 75% of this hand controller's positions.,no,
